Codice,Nome,Designer,Materiale_Rivestimento,Solo_Pelle,Solo_Tessuto,Mix_Pelle_Tessuto_Possibile,Sfoderabile,Meccanismi_Relax,Poggiatesta_Regolabile,Funzione_Letto,Modulare,Struttura_Interna,Piedi_Materiale,Piedi_Finiture,Piedi_Altezza_cm,Piedi_Assemblati,Cuscino_Seduta_Stato,Cuscino_Spalliera_Stato,Note_Versioni_Configurazioni,Anno_Nascita,Imbottitura_Memory_Foam,Imbottitura_Climalight,Imbottitura_Piuma,Piedi_Ant_Post_Diversi,Opzione_Batteria,Porta_USB,Laterali_Componibile_Materiale,Tipo_Cuciture_Speciali,Contrasto_Filo_Bordino,Note_Restrizioni_Materiali,Note_Caratteristiche_Speciali
R911,Long Beach,Claudio Bellini,Tessuto,No,Sì,No,Sì,No,No,No,Sì,Legno,Metallo,"Metallo",6.0 / 9.0,Sì,Volante,Volante,"Versione sfoderabile di Long Beach 2911/V911. Possibile variare altezza piede.",Non Specificato,Sì,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Morbido, accogliente. Altezza piede regolabile. Braccioli sottili. Cuscino seduta con memory foam. Piedi già montati."
S032,Kendo,"Tapinassi & Manzoni",Pelle,Sì,No,No,No,No,No,No,Sì,Legno,Legno/Metallo,"Legno: 32 (Rovere Affumicato) con inserto ottone, 33 (Noce Olivato; a pagamento) con inserto peltro",14.0,No,"Uniti alla struttura","Uniti alla struttura","Versione pelle spessorata di Kendo 3032. Laterali completamente rivestiti.",2017,Sì,Sì,No,No,No,No,Pelle,"Taglio a vivo",No,"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Connubio modularità, artigianalità, design. Personalità raffinata, dettagli preziosi. Mix imbottiture Poliuretano/Climalight. Cuscino seduta con memory foam. Piedi in pacco separato."
S04K,"Re-Vive Club King",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione pelle spessorata di Re-Vive Club 604K.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Solo pelle spessorata (Cassidy).",Struttura e base disponibili in 3 finiture.
S04Q,"Re-Vive Club Queen",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione pelle spessorata di Re-Vive Club 604Q.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Solo pelle spessorata (Cassidy).",Struttura e base disponibili in 3 finiture.
S268,Colle,STUDIO BIG — Bjarke Ingels Group,Pelle,Sì,No,No,Sì,No,No,No,Sì,Legno multistrato,Legno,"Base: frassino affumicato (ST12)",8.0 (Base),No,Non Specificato,Non Specificato,"Versione pelle spessorata di Colle 3268. Ganci rimovibili su ogni modulo.",2024,Sì,No,No,No,No,No,Non Specificato,"Taglio a vivo",Sì (Bordino Tono su Tono),"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Ispirato primi modelli Natuzzi (stile morbido, accogliente). Relax mediterraneo. ""Grinze"" su rivestimento. Bordino Tono su Tono. Cuscino seduta con memory foam. Cinghie elastiche sotto seduta/schienale. Base legno con gommini (non assemblata, in busta)."
S306,Memoria,Karim Rashid,Pelle,Sì,No,No,Sì,No,No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,Non Specificato,Non Specificato,Non Specificato,"Versione pelle spessorata di Memoria 3306. Modulare (lineare, sectional angolo 90° V.029, terminale organico V.220/221, 3 posti sinuoso V.216/217). Laterale divano rivestito. Ganci rimovibili ogni modulo.",2024,No,No,No,No,No,No,Non Specificato,"Taglio a vivo",No,"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Curve morbide, linee sinuose. Bellezza incontro, fluidità relazioni. Cuscini seduta/schienale poliuretano alta densità. Piedini nascosti antiscivolo/antigraffio."
S309,Faraone,Natuzzi Design Center,Pelle,Sì,No,No,No,"Recliner (Doppio Motore, Zero-Gravity)",Sì,No,Sì,Non Specificato,Non Specificato,"Tavolini: finitura cioccolato opaco.",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione pelle spessorata di Faraone 3309. Versioni reclinabili/non reclinabili. Meccanismo doppio motore (pulsanti frontali/interni). Funzione Zero-Gravity. Angolare 45°. Consolle tra sedili (rett./trap., c/vano).",2024,No,No,No,No,No,No,Non Specificato,"Mocassino",No,"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Ispirato Nefertiti (profilo su bracciolo). Funzione Zero-Gravity. Cuciture mocassino."
S904,Dorian,"Tapinassi & Manzoni",Pelle,Sì,No,No,No,No,No,No,Sì,Legno,Metallo (Nascosti),"Non Specificato",3.0,Sì,"Uniti alla struttura","Uniti alla struttura","Versione pelle spessorata di Dorian 2904. Laterali completamente rivestiti.",2014,Sì,No,Sì,No,No,No,Pelle,"Taglio a vivo",No,"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Protagonista ambiente. Volumi abbondanti, forme sinuose. Ergonomia ampie sedute (Memory Foam + piuma d'oca, anche spalliera/braccioli). Altamente modulare (piedini gomma). Piedi già montati, nascosti, gommini antigraffio/antiscivolo."
S907,Fidelio,Maurizio Manzoni,Pelle,Sì,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,No,Legno,Metallo,"75 (Nichel Satinato), 78 (Cromo Nero)",11.0,Sì,Non Specificato,Fisso,"Versione pelle spessorata di Fidelio 2907. Meccanismo Soft Touch. Meccanismo ZeroWall. Poggiatesta regolabile (elettrico/manuale). V.560 3 sedute meccanismo elettrico. Disponibile vers. 830 Battery Bank.",2014,Sì,No,No,No,Sì,No,Non Applicabile,"Taglio a vivo, Pizzicate",No,"Solo pelle spessorata: Misterbianco (cat.30), Cassidy (cat.60).","Struttura ricercata, meccanismi tecnologici. Braccioli cuciture pizzicate/struttura metallo. Cuscino seduta memory foam. Piedi già montati."
V029,Galaxy,Natuzzi Design Center,Tessuto,No,Sì,Sì,No,"Recliner (Dual Power, ZeroWall)",Sì,No,Sì,Legno,Non Specificato,"Non Specificato",Non Specificato,No,"Uniti alla struttura","Uniti alla struttura","Versione tessuto di Galaxy 3029. TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans. Meccanismo Dual Power. Pulsantiera interna. Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank.",2017,No,No,No,No,Sì,No,Non Specificato,Nessuna,Sì,Non Specificato,"Galassia comfort, design, innovazione. Linee avvolgenti, modularità estrema, funzioni salva-spazio, recliner nuova generazione. Altamente modulare (piedini gomma). Piedi in busta."
V085,Icon,Michele Menescardi,Pelle,Sì,No,No,No,No,No,No,Sì,Non Specificato,Metallo,"78 (Cromo Nero)",Non Specificato,Sì,Fisso,Fisso,"Versione pelle di Icon 3085. Laterale in pelle (pezzi componibili).",Non Specificato,No,Sì,No,No,No,No,Pelle,Nessuna,No,"Pelle: da cat.15 (Le Mans).","Mix imbottiture poliuretano/Climalight. Altamente modulare (piedini gomma). Piedi già montati, nascosti, antiscivolo/antigraffio."
V230,Juno,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno curvato,Metallo (Nascosti),"Non Specificato",4.0,Non Specificato,Non Specificato,Non Specificato,"Versione alternativa di Juno 3230 con struttura legno.",Non Specificato,No,No,No,No,No,No,Non Specificato,Nessuna,No,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Struttura legno curvato, cinghie elastiche. Meno pesante di 3230. Modulare. Cuscini seduta poliuretano alta densità (50). Piedini nascosti antiscivolo/antigraffio."
V242,Adam,Marcel Wanders Studio,Pelle/Tessuto,No,No,No,No,No,Sì,No,Non Specificato,Non Specificato,Metallo,"73 (Terracotta opaco), 79 (Nero Opaco)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione con base metallo di Adam 3242. Bracciolo regolabile.",2022,Sì,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans). Non disponibile pelle Misterbianco (cat.30), Cassidy (cat.60).","Cuscino seduta con memory foam. Imbottiture poliuretano espanso microcellulare origine vegetale (densità 50 + memory 2cm)."
V309,Faraone,Natuzzi Design Center,Tessuto,No,Sì,Sì,No,"Recliner (Doppio Motore, Zero-Gravity)",Sì,No,Sì,Non Specificato,Non Specificato,"Tavolini: finitura cioccolato opaco.",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione tessuto di Faraone 3309. 1°Tessuto=principale, 2°Pelle=inserto contrasto (CAT 15 Le Mans, 25 Status, 30 Stromboli, 40 Siena). Versioni reclinabili/non reclinabili. Meccanismo doppio motore. Funzione Zero-Gravity. Angolare 45°. Consolle tra sedili.",2024,No,No,No,No,No,No,Non Specificato,Nessuna,Sì,Non Specificato,"Ispirato Nefertiti (profilo su bracciolo). Funzione Zero-Gravity."
V826,Borghese,Non Specificato,Pelle/Tessuto,No,No,No,No,No,Sì,No,Sì,Legno,Metallo,"Base: 75 (Nichel Satinato), 78 (Cromo Nero)",16.0,No,Fisso,Fisso,"Versione con base metallo di Borghese 2826. Poggiatesta regolabile tutte versioni. V.200/201 poggiatesta reg. seduta terminale. V.480/481 poggiatesta reg. lato terminale/angolo lato corto. V. seconda opzione (277/279) chaise più ampie. Laterale divano componibile in pelle.",Non Specificato,Sì,No,No,No,No,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Design ricercato, forme morbide. Cuscino seduta memory foam. Piedi in busta."
V911,Long Beach,Non Specificato,Pelle,Sì,No,No,No,No,No,No,Sì,Non Specificato,Metallo,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Versione pelle di Long Beach (presumibilmente simile a 2911/R911 ma dettagli mancanti).",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Pelle,Nessuna,Non Specificato,Non Specificato,Descrizione mancante nel file originale.
V981,Herman,"Manzoni e Tapinassi",Pelle,Sì,No,No,No,No,No,No,Sì,Legno,Metallo,"80 (peltro), 81 (bronzo satinato)",Non Specificato,Sì,Fisso,Fisso,"Versione pelle di Herman 2981 (estetica diversa da tessuto). Laterale in pelle (pezzi componibili).",Non Specificato,Sì,No,No,No,No,No,Pelle,Eleganti,No,"Pelle: Articoli Le Mans, Status, Stromboli, Siena.","Sedute profonde, accoglienti, chaise-longue. Cuscini coordinati. Braccioli essenziali, cuciture eleganti. Sostegno metallico esterno. Altamente modulare (piedini gomma). Cuscino seduta memory foam. Piedi già montati."
